example_id,section_title,code_text,line_count,contains_find_all,contains_find,contains_select,contains_get_text,contains_requests
233,Navigating the tree ,"sibling_soup
=
BeautifulSoup
(
""<a><b>text1</b><c>text2</c></a>""
,
'html.parser'
)
print
(
sibling_soup
.
prettify
())
#   <a>
#    <b>
#     text1
#    </b>
#    <c>
#     text2
#    </c>
#   </a>",22,False,False,False,False,False
234,Navigating the tree ,.next_sibling,1,False,False,False,False,False
235,Navigating the tree ,.previous_sibling,1,False,False,False,False,False
236,Navigating the tree ,.next_sibling,1,False,False,False,False,False
237,Navigating the tree ,.previous_sibling,1,False,False,False,False,False
238,Navigating the tree ,"sibling_soup
.
b
.
next_sibling
# <c>text2</c>
sibling_soup
.
c
.
previous_sibling
# <b>text1</b>",12,False,False,False,False,False
239,Navigating the tree ,.next_sibling,1,False,False,False,False,False
240,Navigating the tree ,.previous_sibling,1,False,False,False,False,False
241,Navigating the tree ,.previous_sibling,1,False,False,False,False,False
242,Navigating the tree ,.next_sibling,1,False,False,False,False,False
243,Navigating the tree ,"print
(
sibling_soup
.
b
.
previous_sibling
)
# None
print
(
sibling_soup
.
c
.
next_sibling
)
# None",18,False,False,False,False,False
244,Navigating the tree ,"sibling_soup
.
b
.
string
# 'text1'
print
(
sibling_soup
.
b
.
string
.
next_sibling
)
# None",17,False,False,False,False,False
245,Navigating the tree ,.next_sibling,1,False,False,False,False,False
246,Navigating the tree ,.previous_sibling,1,False,False,False,False,False
247,Navigating the tree ,"# <a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>,
# <a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and
# <a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>;",3,False,False,False,False,False
248,Navigating the tree ,.next_sibling,1,False,False,False,False,False
249,Navigating the tree ,"link
=
soup
.
a
link
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>
link
.
next_sibling
# ',\n '",11,False,False,False,False,False
250,Navigating the tree ,.next_sibling,1,False,False,False,False,False
251,Navigating the tree ,"link
.
next_sibling
.
next_sibling
# <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>",6,False,False,False,False,False
252,Navigating the tree ,.next_siblings,1,False,False,False,False,False
253,Navigating the tree ,.previous_siblings,1,False,False,False,False,False
254,Navigating the tree ,.next_siblings,1,False,False,False,False,False
255,Navigating the tree ,.previous_siblings,1,False,False,False,False,False
